family	family_jp	common_name	s_name
Lycopodiaceae	ヒカゲノカズラ	ホソヒモヨウラクヒバ	Phlegmariurus fargesii
Lycopodiaceae	ヒカゲノカズラ	ナンカクラン	Phlegmariurus hamiltonii
Lycopodiaceae	ヒカゲノカズラ	ヨウラクヒバ	Phlegmariurus phlegmaria
Lycopodiaceae	ヒカゲノカズラ	ヒメヨウラクヒバ	Phlegmariurus salvinioides
Lycopodiaceae	ヒカゲノカズラ	ヒモラン	Phlegmariurus sieboldii
Lycopodiaceae	ヒカゲノカズラ	イワヒモ	Phlegmariurus sieboldii
Lycopodiaceae	ヒカゲノカズラ	リュウキュウヒモラン	Phlegmariurus sieboldii
Isoëtaceae	ミズニラ	ミチノクミズニラ	Isoetes × michinokuana
Isoëtaceae	ミズニラ	ミチノクミズニラ	Isoëtes × michinokuana
Isoëtaceae	ミズニラ	ヒメミズニラ	Isoetes asiatica
Isoëtaceae	ミズニラ	エゾミズニラ	Isoetes asiatica
Isoëtaceae	ミズニラ	ヒメミズニラ	Isoëtes asiatica
Isoëtaceae	ミズニラ	タンナミズニラ	Isoetes hallasanensis
Isoëtaceae	ミズニラ	ミズニラ	Isoetes japonica
Isoëtaceae	ミズニラ	イケニラ	Isoetes japonica
Isoëtaceae	ミズニラ	ミズニラ	Isoëtes japonica
Isoëtaceae	ミズニラ	サイシュウミズニラ	Isoetes jejuensis
Isoëtaceae	ミズニラ	ミズニラモドキ	Isoetes pseudojaponica
Isoëtaceae	ミズニラ	ミズニラモドキ	Isoëtes pseudojaponica
Isoëtaceae	ミズニラ	シナミズニラ	Isoetes sinensis
Isoëtaceae	ミズニラ	オオバシナミズニラ	Isoetes sinensis var. coreana
Isoëtaceae	ミズニラ	オオバシナミズニラ	Isoëtes sinensis var. coreana
Isoëtaceae	ミズニラ	シナミズニラ	Isoetes sinensis var. sinensis
Isoëtaceae	ミズニラ	シナミズニラ	Isoëtes sinensis var. sinensis
Isoëtaceae	ミズニラ	タイワンミズニラ	Isoetes taiwanensis
Selaginellaceae	イワヒバ	コケカタヒバ	Selaginella aristata
Selaginellaceae	イワヒバ	ヒバゴケ	Selaginella boninensis
Selaginellaceae	イワヒバ	ムニンクラマゴケ	Selaginella boninensis
Selaginellaceae	イワヒバ	コウシュンクラマゴケ	Selaginella boninensis
Selaginellaceae	イワヒバ	イヌコケカタヒバ	Selaginella ciliaris
Selaginellaceae	イワヒバ	トウクラマゴケ	Selaginella davidii
Selaginellaceae	イワヒバ	ミタニクラマゴケ	Selaginella davidii
Selaginellaceae	イワヒバ	トリノハカタヒバ	Selaginella delicatula
Selaginellaceae	イワヒバ	ハゴロモカタヒバ	Selaginella delicatula
Selaginellaceae	イワヒバ	チャボクラマゴケ	Selaginella devolii
Selaginellaceae	イワヒバ	オニクラマゴケ	Selaginella doederleinii
Selaginellaceae	イワヒバ	ミドリカタヒバ	Selaginella doederleinii
Selaginellaceae	イワヒバ	コウヅシマクラマゴケ	Selaginella doederleinii
Selaginellaceae	イワヒバ	コウズシマクラマゴケ	Selaginella doederleinii
Selaginellaceae	イワヒバ	ツルカタヒバ	Selaginella flagellifera
Selaginellaceae	イワヒバ	ミタニクラマゴケ	Selaginella flagellifera
Selaginellaceae	イワヒバ	コクラマゴケ	Selaginella flagellifera
Selaginellaceae	イワヒバ	エゾノヒメクラマゴケ	Selaginella helvetica
Selaginellaceae	イワヒバ	エゾクラマゴケ	Selaginella helvetica
Selaginellaceae	イワヒバ	ミヤマヒメタチクラマゴケ	Selaginella helvetica
Selaginellaceae	イワヒバ	ヒメクラマゴケ	Selaginella heterostachys
Selaginellaceae	イワヒバ	ヒメタチクラマゴケ	Selaginella heterostachys
Selaginellaceae	イワヒバ	カタヒバ	Selaginella involvens
Selaginellaceae	イワヒバ	メヒバ	Selaginella involvens
Selaginellaceae	イワヒバ	ニイタカカタヒバ	Selaginella labordei
Selaginellaceae	イワヒバ	アマミクラマゴケ	Selaginella limbata
Selaginellaceae	イワヒバ	ヒメムカデクラマゴケ	Selaginella lutchuensis
Selaginellaceae	イワヒバ	イヌカタヒバ	Selaginella moellendorffii
Selaginellaceae	イワヒバ	タチクラマゴケ	Selaginella nipponica
Selaginellaceae	イワヒバ	ハイクラマゴケ	Selaginella nipponica
Selaginellaceae	イワヒバ	クラマゴケ	Selaginella remotifolia
Selaginellaceae	イワヒバ	キールンクラマゴケ	Selaginella remotifolia
Selaginellaceae	イワヒバ	タカオクラマゴケ	Selaginella repanda
Selaginellaceae	イワヒバ	カタヒバモドキ	Selaginella repanda
Selaginellaceae	イワヒバ	ハリガネヒバ	Selaginella rossii
Selaginellaceae	イワヒバ	タチハリガネヒバ	Selaginella sanguinolenta
Selaginellaceae	イワヒバ	コケスギラン	Selaginella selaginoides
Selaginellaceae	イワヒバ	ヒモカズラ	Selaginella shakotanensis
Selaginellaceae	イワヒバ	ヤマクラマゴケ	Selaginella shensiensis
Selaginellaceae	イワヒバ	エゾノヒモカズラ	Selaginella sibirica
Selaginellaceae	イワヒバ	モウコカタヒバ	Selaginella sinensis
Selaginellaceae	イワヒバ	イワヒバモドキ	Selaginella stauntoniana
Selaginellaceae	イワヒバ	アシブトカタヒバ	Selaginella stauntoniana
Selaginellaceae	イワヒバ	ヤマクラマゴケ	Selaginella tamamontana
Selaginellaceae	イワヒバ	イワヒバ	Selaginella tamariscina
Selaginellaceae	イワヒバ	イワマツ	Selaginella tamariscina
Selaginellaceae	イワヒバ	コンテリクラマゴケ	Selaginella uncinata
Selaginellaceae	イワヒバ	モエギヒバ	Selaginella uncinata
Equisetaceae	トクサ	ハマスギナ	Equisetum × litorale
Equisetaceae	トクサ	テドリトクサ	Equisetum × moorei
Equisetaceae	トクサ	テトリトクサ	Equisetum × moorei
Equisetaceae	トクサ	フォーリースギナ	Equisetum × rothmaleri
Equisetaceae	トクサ	スギナ	Equisetum arvense
Equisetaceae	トクサ	ミモチスギナ	Equisetum arvense
Equisetaceae	トクサ	オクエゾスギナ	Equisetum arvense
Equisetaceae	トクサ	オクエゾスギナ	Equisetum arvense f. boreale
Equisetaceae	トクサ	ミズドクサ	Equisetum fluviatile
Equisetaceae	トクサ	ミズスギナ	Equisetum fluviatile
Equisetaceae	トクサ	トクサ	Equisetum hyemale
Equisetaceae	トクサ	エダウチトクサ	Equisetum hyemale
Equisetaceae	トクサ	トクサ	Equisetum hyemale subsp. hyemale
Equisetaceae	トクサ	エダウチトクサ	Equisetum hyemale subsp. hyemale
Equisetaceae	トクサ	ハマドクサ	Equisetum hyemale subsp. hyemale
Equisetaceae	トクサ	ハマトクサ	Equisetum hyemale subsp. hyemale
Equisetaceae	トクサ	フイリトクサ	Equisetum hyemale subsp. hyemale
Equisetaceae	トクサ	フイリトクサ	Equisetum hyemale subsp. hyemale f. variegatum
Equisetaceae	トクサ	ハマドクサ	Equisetum hyemale subsp. hyemale var. schleicheri
Equisetaceae	トクサ	ハマトクサ	Equisetum hyemale subsp. hyemale var. schleicheri
Equisetaceae	トクサ	ハマドクサ	Equisetum hyemale var. schleicheri
Equisetaceae	トクサ	イヌスギナ	Equisetum palustre
Equisetaceae	トクサ	ヤチスギナ	Equisetum pratense
Equisetaceae	トクサ	イヌドクサ	Equisetum ramosissimum
Equisetaceae	トクサ	アオイヌドクサ	Equisetum ramosissimum
Equisetaceae	トクサ	カワラドクサ	Equisetum ramosissimum
Equisetaceae	トクサ	タイワンイヌドクサ	Equisetum ramosissimum subsp. debile
Equisetaceae	トクサ	イヌドクサ	Equisetum ramosissimum subsp. ramosissimum
Equisetaceae	トクサ	カワラドクサ	Equisetum ramosissimum subsp. ramosissimum
Equisetaceae	トクサ	タカトクサ	Equisetum ramosissimum subsp. ramosissimum
Equisetaceae	トクサ	タカトクサ	Equisetum ramosissimum subsp. ramosissimum var. ripense
Equisetaceae	トクサ	タカトクサ	Equisetum ramosissimum var. ripense
Equisetaceae	トクサ	ヒメドクサ	Equisetum scirpoides
Equisetaceae	トクサ	フサスギナ	Equisetum sylvaticum
Equisetaceae	トクサ	エゾスギナ	Equisetum sylvaticum
Equisetaceae	トクサ	チシマヒメドクサ	Equisetum variegatum
Psilotaceae	マツバラン	ソウメングサ	Psilotum complanatum
Psilotaceae	マツバラン	マツバラン	Psilotum nudum
Ophioglossaceae	ハナヤスリ	ホノオハナワラビ	－
Ophioglossaceae	ハナヤスリ	ミチノクハナワラビ	－
Ophioglossaceae	ハナヤスリ	ムツハナワラビ	－
Ophioglossaceae	ハナヤスリ	イブリモドキハナワラビ	－
Ophioglossaceae	ハナヤスリ	ミドリシチトウハナワラビ	－
Ophioglossaceae	ハナヤスリ	アイヅハナワラビ	－
Ophioglossaceae	ハナヤスリ	アカアイヅハナワラビ	－
Ophioglossaceae	ハナヤスリ	ヤマフユノハナワラビ	－
Ophioglossaceae	ハナヤスリ	サガワハナワラビ	－
